№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
1253,Captivating Animals:Scienceand Spectacle in Early American Natural Histories,Kathryn Napier Gray,N/A,N/A,First published:01 January 2005,https://onlinelibrary.wiley.com/doi/10.1002/9780470996416.ch31
1254,Reconceptualizing nature-of-scienceeducation in the age of social media,"Dietmar Höttecke, Douglas Allchin",ScienceEducation,"Volume 104, Issue 4",First published:15 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/sce.21575
1255,Effectiveness of inquiry-basedsciencelaboratories for improving teamwork and problem-solvingskillsand attitudes,Ying Huang,Journal of Research inScienceTeaching,"Volume 59, Issue 3",First published:15 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/tea.21729
1256,Mapping the global network of fisheriessciencecollaboration,"Shaheen Syed, Lia ní Aodha, Callum Scougal, Marco Spruit",Fish and Fisheries,"Volume 20, Issue 5",First published:10 June 2019,https://onlinelibrary.wiley.com/doi/10.1111/faf.12379
1257,Primary school students’ perspectives on questions that bridgescienceand religion: Findings from a survey study in England,"Berry Billingsley, Manzoorul Abedin, Mehdi Nassaji",British Educational Research Journal,"Volume 46, Issue 1",First published:13 September 2019,https://onlinelibrary.wiley.com/doi/10.1002/berj.3574
1258,Findingsciencein the school body: Reflections on transgressing the boundaries ofscienceeducation and the social studies ofscience,Matthew Weinstein,ScienceEducation,"Volume 92, Issue 3",First published:19 February 2008,https://onlinelibrary.wiley.com/doi/10.1002/sce.20267
1259,MaterialsScienceand Innovation in New Zealand,P. C. Hodgson,Advanced Materials,"Volume 13, Issue 12-13",First published:28 June 2001,https://onlinelibrary.wiley.com/doi/10.1002/1521-4095%28200107%2913%3A12/13%3C865%3A%3AAID-ADMA865%3E3.0.CO%3B2-7
1260,THESCIENCEAND RELIGION FORUM DISCUSS INFORMATION AND REALITY: QUESTIONS FOR RELIGIONS ANDSCIENCE,Finley I. Lawson,Zygon®,"Volume 58, Issue 3",First published:22 March 2023,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12882
1261,The Concept of FYST: An Association for First-YearScienceTeachers,,N/A,N/A,First published:01 March 2010,https://onlinelibrary.wiley.com/doi/10.2134/2010.practicalperspectives.c13
1262,TheScienceof Soil,,N/A,N/A,First published:01 January 1992,https://onlinelibrary.wiley.com/doi/10.2136/1992.opportunitiesinbasic.c1
1263,Longitudinal analysis of the relations between opportunities to learn aboutscienceand the development of interests related toscience,"Joyce M. Alexander, Kathy E. Johnson, Ken Kelley",ScienceEducation,"Volume 96, Issue 5",First published:28 June 2012,https://onlinelibrary.wiley.com/doi/10.1002/sce.21018
1264,The paradigm of thescienceof management and of the managementsciencedisciplines,John P. van Gigch,Systems Research and BehavioralScience,"Volume 20, Issue 6",First published:13 November 2003,https://onlinelibrary.wiley.com/doi/10.1002/sres.576
1265,Teachers Describe Epistemologies ofScienceInstruction Through Q Methodology,"Caitlin Barnes, Julie Angle, Diane Montgomery",SchoolScienceand Mathematics,"Volume 115, Issue 3",First published:02 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12111
1266,"Elementary teachers' verbal supports ofscienceand engineering practices in an NGSS-alignedscience, engineering, and computational thinking unit","Sarah Lilly, Anne M. McAlister, Sarah J. Fick, Jennifer L. Chiu, Kevin W. McElhaney",Journal of Research inScienceTeaching,"Volume 59, Issue 6",First published:07 March 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21751
1267,The International Society for OccupationalScience: A Critique of its Role in Facilitating the Development of OccupationalSciencethrough International Networks and Intercultural Dialogue,Alison Wicks PhD,N/A,N/A,First published:03 January 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118281581.ch12
1268,Becomingsciencelearners: A study of newcomers’ identity work in elementary schoolscience,"Rebeca Gamez, Carolyn A. Parker",ScienceEducation,"Volume 102, Issue 2",First published:21 November 2017,https://onlinelibrary.wiley.com/doi/10.1002/sce.21323
1269,OpenScienceBadges in theJournal of Neurochemistry,"Barbara Schweitzer, Jörg B. Schulz",Journal of Neurochemistry,"Volume 147, Issue 2",First published:01 August 2018,https://onlinelibrary.wiley.com/doi/10.1111/jnc.14536
1270,An examination of the features ofsciencefairs that support students' understandings ofscienceand engineering practices,"Jacqueline DeLisi, Janna F. Kook, Abigail Jurist Levy, Erica Fields, Lukas Winfield",Journal of Research inScienceTeaching,"Volume 58, Issue 4",First published:08 October 2020,https://onlinelibrary.wiley.com/doi/10.1002/tea.21669
1271,Mobile application development exploitingsciencegateway technologies,"Fabio Vitello, Eva Sciacca, Ugo Becciani, Alessandro Costa, Piero Massimino, Éva Takács, Balázs Szakál",Concurrency and Computation: Practice and Experience,"Volume 27, Issue 16",First published:20 May 2015,https://onlinelibrary.wiley.com/doi/10.1002/cpe.3538
1272,Introducing SoilScienceinto the K-12 Curriculum,"Terence H. Cooper, John W. Schultz, Marion K. Barton",N/A,N/A,First published:01 November 1994,https://onlinelibrary.wiley.com/doi/10.2136/sssaspecpub37.c1
1273,Captivating Animals:Scienceand Spectacle in Early American Natural Histories,Kathryn Napier Gray,N/A,N/A,First published:01 January 2005,https://onlinelibrary.wiley.com/doi/10.1002/9780470996416.ch31
1274,Reconceptualizing nature-of-scienceeducation in the age of social media,"Dietmar Höttecke, Douglas Allchin",ScienceEducation,"Volume 104, Issue 4",First published:15 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/sce.21575
1275,Effectiveness of inquiry-basedsciencelaboratories for improving teamwork and problem-solvingskillsand attitudes,Ying Huang,Journal of Research inScienceTeaching,"Volume 59, Issue 3",First published:15 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/tea.21729
1276,Mapping the global network of fisheriessciencecollaboration,"Shaheen Syed, Lia ní Aodha, Callum Scougal, Marco Spruit",Fish and Fisheries,"Volume 20, Issue 5",First published:10 June 2019,https://onlinelibrary.wiley.com/doi/10.1111/faf.12379
1277,Primary school students’ perspectives on questions that bridgescienceand religion: Findings from a survey study in England,"Berry Billingsley, Manzoorul Abedin, Mehdi Nassaji",British Educational Research Journal,"Volume 46, Issue 1",First published:13 September 2019,https://onlinelibrary.wiley.com/doi/10.1002/berj.3574
1278,Findingsciencein the school body: Reflections on transgressing the boundaries ofscienceeducation and the social studies ofscience,Matthew Weinstein,ScienceEducation,"Volume 92, Issue 3",First published:19 February 2008,https://onlinelibrary.wiley.com/doi/10.1002/sce.20267
1279,MaterialsScienceand Innovation in New Zealand,P. C. Hodgson,Advanced Materials,"Volume 13, Issue 12-13",First published:28 June 2001,https://onlinelibrary.wiley.com/doi/10.1002/1521-4095%28200107%2913%3A12/13%3C865%3A%3AAID-ADMA865%3E3.0.CO%3B2-7
1280,THESCIENCEAND RELIGION FORUM DISCUSS INFORMATION AND REALITY: QUESTIONS FOR RELIGIONS ANDSCIENCE,Finley I. Lawson,Zygon®,"Volume 58, Issue 3",First published:22 March 2023,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12882
1281,"SpaceScienceNews: Special Edition, a resource for extending reading and promoting engagement with newspapers in thescienceclassroom","Ruth Jarman, Billy McClune",Literacy,"Volume 39, Issue 3",First published:26 October 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9345.2005.00411.x
1282,TheScienceof Food and Cooking,,N/A,N/A,First published:15 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118910771.ch1
1283,Verticalities in oral histories ofscience,Paul Merchant,Centaurus,"Volume 62, Issue 4",First published:22 September 2020,https://onlinelibrary.wiley.com/doi/10.1111/1600-0498.12324
1284,Second Fundão Dam RuptureScienceMeeting: Updating thescience,"Ross E. W. Smith, Tatiana H. Furley, Denis M. de Souza Abessa, Laila C. C. Medeiros",Integrated Environmental Assessment and Management,"Volume 20, Issue 1",First published:30 November 2023,https://onlinelibrary.wiley.com/doi/10.1002/ieam.4863
1285,Complexity at the socialscienceinterface,"Nigel Gilbert, Seth Bullock",Complexity,"Volume 19, Issue 6",First published:27 May 2014,https://onlinelibrary.wiley.com/doi/10.1002/cplx.21550
1286,ScienceFiction,Nicholas Ruddick,N/A,N/A,First published:24 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/9781444337822.wbetcfv1s001
1287,"Design of a phenomenon-basedscienceoutreach program and its effects on elementary students’ epistemological understanding of, and attitudes toward,science","Ryan T. Helsel, Sammi Lambert, Lindsey Dickerson, Jack Strelich, Vanessa Woods, Darby Feldwinn",SchoolScienceand Mathematics,"Volume 122, Issue 2",First published:19 February 2022,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12515
1288,The increasingly important role ofsciencecompetency beliefs forsciencelearning in girls,"Paulette Vincent-Ruz, Christian D. Schunn",Journal of Research inScienceTeaching,"Volume 54, Issue 6",First published:01 March 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21387
1289,"Motivation in high schoolsciencestudents: A comparison of gender differences in life, physical, and earthscienceclasses",Shari L. Britner,Journal of Research inScienceTeaching,"Volume 45, Issue 8",First published:24 January 2008,https://onlinelibrary.wiley.com/doi/10.1002/tea.20249
1290,ScienceDiplomacy and Trust Building: ‘ScienceChina’ in the Arctic,"Ping Su, Maximilian Mayer",Global Policy,"Volume 9, Issue S3",First published:09 July 2018,https://onlinelibrary.wiley.com/doi/10.1111/1758-5899.12576
1291,Managing a large citizenscienceproject to monitor wildlife,"Christina M. Locke, Christine M. Anhalt-Depies, Susan Frett, Jennifer L. Stenglein, Sarah Cameron, Vivek Malleshappa, Taylor Peltier, Benjamin Zuckerberg, Philip A. Townsend",Wildlife Society Bulletin,"Volume 43, Issue 1",First published:21 February 2019,https://onlinelibrary.wiley.com/doi/10.1002/wsb.943
1292,Structuring wicked problems insciencecommunication,"Sabrina Kirschke, Hannah Kosow",Review of Policy Research,Early View,First published:11 January 2025,https://onlinelibrary.wiley.com/doi/10.1111/ropr.12641
1293,Scienceas a classed and gendered endeavor: Persistence of two white female first-generation college students within an undergraduatesciencecontext,"Rachel E. Wilson, Julie Kittleson",Journal of Research inScienceTeaching,"Volume 50, Issue 7",First published:17 April 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21087
1294,Teachingsciencefrom cultural points of intersection,"Bruna Irene Grimberg, Edith Gummer",Journal of Research inScienceTeaching,"Volume 50, Issue 1",First published:30 November 2012,https://onlinelibrary.wiley.com/doi/10.1002/tea.21066
1295,ImplementationScienceTraining and Resources for Nurses and NurseScientists,"Leanne M. Boehm PhD, RN, ACNS-BC, Deonni P. Stolldorf PhD, RN, Alvin D. Jeffery PhD, RN",Journal of Nursing Scholarship,"Volume 52, Issue 1",First published:09 September 2019,https://onlinelibrary.wiley.com/doi/10.1111/jnu.12510
1296,Climate-ScienceCommunication and theMeasurement Problem,Dan M. Kahan,Political Psychology,"Volume 36, Issue S1",First published:20 February 2015,https://onlinelibrary.wiley.com/doi/10.1111/pops.12244
1297,Investigation of thescienceachievement models for low and high achieving schools and gender differences in Turkey,Ömer Acar,Journal of Research inScienceTeaching,"Volume 56, Issue 5",First published:10 October 2018,https://onlinelibrary.wiley.com/doi/10.1002/tea.21517
1298,A bibliometric analysis of COVID-19 publications in the ten psychology-related Web ofSciencecategories in the socialsciencecitation index,"Yuh-Shan Ho, Hui-Zhen Fu, Dean McKay",Journal of Clinical Psychology,"Volume 77, Issue 12",First published:05 August 2021,https://onlinelibrary.wiley.com/doi/10.1002/jclp.23227
1299,The effects of computerized inquiry-stage-dependent argumentation assistance on elementary students'scienceprocess and argument constructionskills,"C.-H. Lin, C.-H. Chiu, C.-C. Hsu, T.-I. Wang, C.-H. Chen",Journal of Computer Assisted Learning,"Volume 34, Issue 3",First published:29 January 2018,https://onlinelibrary.wiley.com/doi/10.1111/jcal.12241
1300,HoloLens and mobile augmented reality in medical and healthscienceeducation: A randomised controlled trial,"Christian Moro, Charlotte Phelps, Petrea Redmond, Zane Stromberga",British Journal of Educational Technology,"Volume 52, Issue 2",First published:02 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/bjet.13049
1301,"SpaceScienceNews: Special Edition, a resource for extending reading and promoting engagement with newspapers in thescienceclassroom","Ruth Jarman, Billy McClune",Literacy,"Volume 39, Issue 3",First published:26 October 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9345.2005.00411.x
1302,TheScienceof Food and Cooking,,N/A,N/A,First published:15 April 2016,https://onlinelibrary.wiley.com/doi/10.1002/9781118910771.ch1
1303,Verticalities in oral histories ofscience,Paul Merchant,Centaurus,"Volume 62, Issue 4",First published:22 September 2020,https://onlinelibrary.wiley.com/doi/10.1111/1600-0498.12324
1304,Complexity at the socialscienceinterface,"Nigel Gilbert, Seth Bullock",Complexity,"Volume 19, Issue 6",First published:27 May 2014,https://onlinelibrary.wiley.com/doi/10.1002/cplx.21550
1305,Second Fundão Dam RuptureScienceMeeting: Updating thescience,"Ross E. W. Smith, Tatiana H. Furley, Denis M. de Souza Abessa, Laila C. C. Medeiros",Integrated Environmental Assessment and Management,"Volume 20, Issue 1",First published:30 November 2023,https://onlinelibrary.wiley.com/doi/10.1002/ieam.4863
1306,ScienceFiction,Nicholas Ruddick,N/A,N/A,First published:24 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/9781444337822.wbetcfv1s001
1307,"Design of a phenomenon-basedscienceoutreach program and its effects on elementary students’ epistemological understanding of, and attitudes toward,science","Ryan T. Helsel, Sammi Lambert, Lindsey Dickerson, Jack Strelich, Vanessa Woods, Darby Feldwinn",SchoolScienceand Mathematics,"Volume 122, Issue 2",First published:19 February 2022,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12515
1308,The increasingly important role ofsciencecompetency beliefs forsciencelearning in girls,"Paulette Vincent-Ruz, Christian D. Schunn",Journal of Research inScienceTeaching,"Volume 54, Issue 6",First published:01 March 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21387
1309,"Motivation in high schoolsciencestudents: A comparison of gender differences in life, physical, and earthscienceclasses",Shari L. Britner,Journal of Research inScienceTeaching,"Volume 45, Issue 8",First published:24 January 2008,https://onlinelibrary.wiley.com/doi/10.1002/tea.20249
1310,ScienceDiplomacy and Trust Building: ‘ScienceChina’ in the Arctic,"Ping Su, Maximilian Mayer",Global Policy,"Volume 9, Issue S3",First published:09 July 2018,https://onlinelibrary.wiley.com/doi/10.1111/1758-5899.12576
1311,Managing a large citizenscienceproject to monitor wildlife,"Christina M. Locke, Christine M. Anhalt-Depies, Susan Frett, Jennifer L. Stenglein, Sarah Cameron, Vivek Malleshappa, Taylor Peltier, Benjamin Zuckerberg, Philip A. Townsend",Wildlife Society Bulletin,"Volume 43, Issue 1",First published:21 February 2019,https://onlinelibrary.wiley.com/doi/10.1002/wsb.943
1312,Scienceas a classed and gendered endeavor: Persistence of two white female first-generation college students within an undergraduatesciencecontext,"Rachel E. Wilson, Julie Kittleson",Journal of Research inScienceTeaching,"Volume 50, Issue 7",First published:17 April 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21087
1313,Structuring wicked problems insciencecommunication,"Sabrina Kirschke, Hannah Kosow",Review of Policy Research,Early View,First published:11 January 2025,https://onlinelibrary.wiley.com/doi/10.1111/ropr.12641
